year,rank,title,artist,matched_track_name,matched_artist_name,collection_name,preview_url,itunes_track_view_url,itunes_track_id,preview_m4a_path,preview_wav_path,duration_seconds,sample_rate,rms_level,peak_level,stereo_width_ratio,dynamic_lift_ratio,window_motion,silence_ratio,source_url
1965,1,Wooly Bully,Sam the Sham and the Pharaohs,Wooly Bully,Sam the Sham & The Pharaohs,20th Century Masters - The Millennium Collection: The Best of Sam the Sham & The Pharaohs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f9/65/e1/f965e1f0-27fe-dd48-321c-1fb6d01cd408/mzaf_11789282214816831775.plus.aac.p.m4a,https://music.apple.com/us/album/wooly-bully/1444137678?i=1444137692&uo=4,1444137692,data/reference/audio_previews/m4a/1965-1-wooly-bully-sam-the-sham-and-the-pharaohs.m4a,data/reference/audio_previews/wav/1965-1-wooly-bully-sam-the-sham-and-the-pharaohs.wav,29.97551,22050.0,0.121912,0.80636,0.342489,1.072583,0.019371,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1965
1965,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,Second Album,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c8/45/40/c845408f-b73d-2c35-c16b-afc82b97e602/mzaf_1210379351414939844.plus.aac.p.m4a,https://music.apple.com/us/album/i-cant-help-myself-sugar-pie-honey-bunch/1443096418?i=1443096422&uo=4,1443096422,data/reference/audio_previews/m4a/1965-2-i-can-t-help-myself-sugar-pie-honey-bunch-four-tops.m4a,data/reference/audio_previews/wav/1965-2-i-can-t-help-myself-sugar-pie-honey-bunch-four-tops.wav,29.97551,22050.0,0.202469,1.0,0.523495,0.923983,0.020538,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1965
1965,3,(I Can't Get No) Satisfaction,The Rolling Stones,(I Can't Get No) Satisfaction,The Rolling Stones,Out of Our Heads,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/18/be/a2/18bea29d-c999-0366-b423-071c5ef5a0f2/mzaf_10269667874365468180.plus.aac.p.m4a,https://music.apple.com/us/album/i-cant-get-no-satisfaction/1440743344?i=1440743544&uo=4,1440743544,data/reference/audio_previews/m4a/1965-3-i-can-t-get-no-satisfaction-the-rolling-stones.m4a,data/reference/audio_previews/wav/1965-3-i-can-t-get-no-satisfaction-the-rolling-stones.wav,29.97551,22050.0,0.154344,0.852596,0.0,1.290857,0.01949,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1965
1975,1,Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/66/4a/21/664a21e4-9711-236b-acbb-0a12a0079162/mzaf_4150380495035423682.plus.aac.p.m4a,https://music.apple.com/us/album/love-will-keep-us-together/1442300587?i=1442300589&uo=4,1442300589,data/reference/audio_previews/m4a/1975-1-love-will-keep-us-together-captain-tennille.m4a,data/reference/audio_previews/wav/1975-1-love-will-keep-us-together-captain-tennille.wav,29.97551,22050.0,0.246641,0.993286,0.365069,1.264566,0.043795,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1975
1975,2,Rhinestone Cowboy,Glen Campbell,Rhinestone Cowboy,Glen Campbell,Rhinestone Cowboy (Expanded Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/aa/0c/69/aa0c694e-edd1-b1b7-e826-07e763348ec0/mzaf_12716202995121512240.plus.aac.p.m4a,https://music.apple.com/us/album/rhinestone-cowboy/1442453148?i=1442453158&uo=4,1442453158,data/reference/audio_previews/m4a/1975-2-rhinestone-cowboy-glen-campbell.m4a,data/reference/audio_previews/wav/1975-2-rhinestone-cowboy-glen-campbell.wav,29.97551,22050.0,0.226226,0.936522,0.338079,1.152606,0.033732,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1975
1975,3,Philadelphia Freedom,Elton John,Philadelphia Freedom,Elton John,Captain Fantastic and the Brown Dirt Cowboy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/51/cf/aa/51cfaa5f-33ad-1d97-ed72-3f1c513e2dc9/mzaf_7819025952797799474.plus.aac.p.m4a,https://music.apple.com/us/album/philadelphia-freedom/1440810893?i=1440811169&uo=4,1440811169,data/reference/audio_previews/m4a/1975-3-philadelphia-freedom-elton-john.m4a,data/reference/audio_previews/wav/1975-3-philadelphia-freedom-elton-john.wav,29.97551,22050.0,0.121117,0.908811,0.207316,1.035335,0.022205,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1975
1985,1,Careless Whisper,George Michael,Careless Whisper,George Michael,Ladies & Gentlemen,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7c/bb/d8/7cbbd80c-29a1-6142-d0f3-de33e8569a0e/mzaf_12978360432335063808.plus.aac.p.m4a,https://music.apple.com/us/album/careless-whisper/429945575?i=429945616&uo=4,429945616,data/reference/audio_previews/m4a/1985-1-careless-whisper-george-michael.m4a,data/reference/audio_previews/wav/1985-1-careless-whisper-george-michael.wav,29.97551,22050.0,0.153059,0.995544,0.279069,1.117233,0.028212,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1985
1985,2,Like a Virgin,Madonna,Like a Virgin,Madonna,Like a Virgin,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d4/91/00/d4910061-5267-b81a-eb30-059224c36cb3/mzaf_10027228873369591121.plus.aac.p.m4a,https://music.apple.com/us/album/like-a-virgin/80815235?i=80815215&uo=4,80815215,data/reference/audio_previews/m4a/1985-2-like-a-virgin-madonna.m4a,data/reference/audio_previews/wav/1985-2-like-a-virgin-madonna.wav,29.92907,22050.0,0.109366,0.985076,0.457569,1.118118,0.012304,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1985
1985,3,Wake Me Up Before You Go-Go,Wham!,Wake Me Up Before You Go-Go,Wham!,"Stranger Things: Soundtrack from the Netflix Original Series, Season 3",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/58/cf/ef/58cfef0e-4beb-b74a-6b40-639eef817fad/mzaf_16803483548090214282.plus.aac.p.m4a,https://music.apple.com/us/album/wake-me-up-before-you-go-go/1466273974?i=1466274459&uo=4,1466274459,data/reference/audio_previews/m4a/1985-3-wake-me-up-before-you-go-go-wham.m4a,data/reference/audio_previews/wav/1985-3-wake-me-up-before-you-go-go-wham.wav,29.97551,22050.0,0.176027,0.99762,0.304021,0.966403,0.019756,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1985
1995,1,Gangsta's Paradise,Coolio featuring L.V.,Gangsta's Paradise,Coolio & L.V.,Gangsta's Paradise - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c1/26/78/c1267871-2673-1455-2f43-b43d73d0ced8/mzaf_12147033345912804634.plus.aac.p.m4a,https://music.apple.com/us/album/gangstas-paradise/1827554490?i=1827554491&uo=4,1827554491,data/reference/audio_previews/m4a/1995-1-gangsta-s-paradise-coolio-featuring-l-v.m4a,data/reference/audio_previews/wav/1995-1-gangsta-s-paradise-coolio-featuring-l-v.wav,29.97551,22050.0,0.238252,1.000031,0.364202,1.394427,0.077917,0.0,https://en.wikipedia.org/wiki/Billboard_Year-End_Hot_100_singles_of_1995
